t,d1,v1,a1
0.010,15.0,0.015,3.0
0.020,15.0,0.06,6.0
0.030,15.001,0.135,9.0
0.040,15.003,0.24,12.0
0.050,15.006,0.375,15.0
0.060,15.011,0.54,18.0
0.070,15.017,0.735,21.0
0.080,15.026,0.96,24.0
0.090,15.036,1.215,27.0
0.100,15.05,1.5,30.0
0.110,15.067,1.815,33.0
0.120,15.086,2.16,36.0
0.130,15.11,2.515,34.069
0.140,15.137,2.84,31.069
0.150,15.167,3.136,28.069
0.160,15.199,3.402,25.069
0.170,15.234,3.638,22.069
0.180,15.272,3.843,19.069
0.190,15.311,4.019,16.069
0.200,15.352,4.165,13.069
0.210,15.394,4.28,10.069
0.220,15.438,4.366,7.069
0.230,15.482,4.422,4.069
0.240,15.526,4.447,1.069
0.250,15.57,4.449,0.0
0.260,15.615,4.449,0.0
0.270,15.659,4.449,0.0
0.280,15.704,4.449,0.0
0.290,15.748,4.449,0.0
0.300,15.793,4.449,0.0
0.310,15.837,4.449,0.0
0.320,15.882,4.449,-0.07
0.330,15.926,4.434,-3.07
0.340,15.97,4.388,-6.07
0.350,16.014,4.312,-9.07
0.360,16.057,4.206,-12.07
0.370,16.098,4.071,-15.07
0.380,16.138,3.905,-18.07
0.390,16.176,3.709,-21.07
0.400,16.212,3.484,-24.07
0.410,16.246,3.228,-27.07
0.420,16.277,2.942,-30.07
0.430,16.304,2.627,-33.07
0.440,16.329,2.281,-36.07
0.450,16.35,1.905,-39.07
0.460,16.367,1.499,-42.07
0.470,16.38,1.064,-45.07
0.480,16.388,0.598,-48.07
0.490,16.392,0.102,-51.07
0.500,16.39,-0.423,-54.07
0.510,16.383,-0.979,-57.07
0.520,16.37,-1.565,-60.07
0.530,16.352,-2.18,-63.07
0.540,16.327,-2.826,-66.07
0.550,16.295,-3.502,-69.07
0.560,16.257,-4.207,-72.07
0.570,16.211,-4.943,-75.07
0.580,16.158,-5.709,-78.07
0.590,16.097,-6.505,-81.07
0.600,16.027,-7.33,-84.07
0.610,15.95,-8.186,-86.472
0.620,15.864,-9.035,-83.472
0.630,15.769,-9.855,-80.472
0.640,15.667,-10.645,-77.472
0.650,15.556,-11.405,-74.472
0.660,15.439,-12.134,-71.472
0.670,15.314,-12.834,-68.472
0.680,15.182,-13.504,-65.472
0.690,15.044,-14.143,-62.472
0.700,14.899,-14.753,-59.472
0.710,14.749,-15.333,-56.472
0.720,14.593,-15.883,-53.472
0.730,14.431,-16.402,-50.472
0.740,14.265,-16.892,-47.472
0.750,14.094,-17.352,-44.472
0.760,13.918,-17.782,-41.472
0.770,13.738,-18.181,-38.472
0.780,13.554,-18.551,-35.472
0.790,13.367,-18.891,-32.472
0.800,13.177,-19.2,-29.472
0.810,12.983,-19.48,-26.472
0.820,12.787,-19.73,-23.472
0.830,12.589,-19.95,-20.472
0.840,12.388,-20.139,-17.472
0.850,12.186,-20.299,-14.472
0.860,11.982,-20.429,-11.472
0.870,11.778,-20.528,-8.472
0.880,11.572,-20.598,-5.472
0.890,11.366,-20.639,-3.688
0.900,11.159,-20.691,-6.688
0.910,10.952,-20.764,-7.355
0.920,10.744,-20.837,-7.355
0.930,10.535,-20.911,-7.355
0.940,10.326,-20.984,-7.028
0.950,10.115,-21.04,-4.028
0.960,9.905,-21.065,-1.028
0.970,9.694,-21.06,1.972
0.980,9.484,-21.025,4.972
0.990,9.274,-20.961,7.972
