t,d1,v1,a1
0.010,0.0,0.015,3.0
0.020,0.0,0.06,6.0
0.030,0.001,0.135,9.0
0.040,0.003,0.24,12.0
0.050,0.006,0.375,15.0
0.060,0.011,0.54,18.0
0.070,0.017,0.735,21.0
0.080,0.026,0.96,24.0
0.090,0.036,1.215,27.0
0.100,0.05,1.5,30.0
0.110,0.067,1.815,33.0
0.120,0.086,2.16,36.0
0.130,0.11,2.535,39.0
0.140,0.137,2.94,42.0
0.150,0.169,3.351,39.592
0.160,0.204,3.732,36.592
0.170,0.243,4.082,33.592
0.180,0.286,4.403,30.592
0.190,0.331,4.694,27.592
0.200,0.379,4.955,24.592
0.210,0.43,5.186,21.592
0.220,0.483,5.387,18.592
0.230,0.538,5.558,15.592
0.240,0.594,5.699,12.592
0.250,0.652,5.81,9.592
0.260,0.71,5.891,6.592
0.270,0.769,5.942,3.592
0.280,0.829,5.963,0.592
0.290,0.889,5.963,0.0
0.300,0.948,5.963,0.0
0.310,1.008,5.963,0.0
0.320,1.067,5.963,0.0
0.330,1.127,5.963,0.0
0.340,1.187,5.963,0.0
0.350,1.246,5.963,0.0
0.360,1.306,5.963,0.0
0.370,1.366,5.963,0.0
0.380,1.425,5.963,0.0
0.390,1.485,5.963,0.0
0.400,1.545,5.963,0.0
0.410,1.604,5.963,0.0
0.420,1.664,5.963,0.0
0.430,1.723,5.963,0.0
0.440,1.783,5.963,0.0
0.450,1.843,5.963,0.0
0.460,1.902,5.963,0.0
0.470,1.962,5.963,0.0
0.480,2.022,5.963,0.0
0.490,2.081,5.963,0.0
0.500,2.141,5.963,0.0
0.510,2.2,5.963,0.0
0.520,2.26,5.963,0.0
0.530,2.32,5.963,0.0
0.540,2.379,5.963,0.0
0.550,2.439,5.963,0.0
0.560,2.499,5.963,0.0
0.570,2.558,5.963,0.0
0.580,2.618,5.963,0.0
0.590,2.678,5.963,0.0
0.600,2.737,5.963,0.0
0.610,2.797,5.963,0.0
0.620,2.856,5.963,0.0
0.630,2.916,5.963,0.0
0.640,2.976,5.963,0.0
0.650,3.035,5.963,0.0
0.660,3.095,5.963,0.0
0.670,3.155,5.963,0.0
0.680,3.214,5.963,0.0
0.690,3.274,5.963,0.0
0.700,3.333,5.963,0.0
0.710,3.393,5.963,0.0
0.720,3.453,5.963,0.0
0.730,3.512,5.963,0.0
0.740,3.572,5.963,0.0
0.750,3.632,5.963,0.0
0.760,3.691,5.963,0.0
0.770,3.751,5.963,0.0
0.780,3.811,5.963,0.0
0.790,3.87,5.963,0.0
0.800,3.93,5.963,0.0
0.810,3.989,5.963,0.0
0.820,4.049,5.963,0.0
0.830,4.109,5.963,0.0
0.840,4.168,5.963,0.0
0.850,4.228,5.963,0.0
0.860,4.288,5.963,0.0
0.870,4.347,5.963,0.0
0.880,4.407,5.963,0.0
0.890,4.466,5.963,0.0
0.900,4.526,5.963,0.0
0.910,4.586,5.963,0.0
0.920,4.645,5.963,0.0
0.930,4.705,5.963,0.0
0.940,4.765,5.963,0.0
0.950,4.824,5.963,0.0
0.960,4.884,5.963,0.0
0.970,4.944,5.963,0.0
0.980,5.003,5.963,0.0
0.990,5.063,5.963,0.0
1.000,5.122,5.963,0.0
1.010,5.182,5.963,0.0
1.020,5.242,5.963,0.0
1.030,5.301,5.963,0.0
1.040,5.361,5.963,0.0
1.050,5.421,5.963,0.0
1.060,5.48,5.963,0.282
1.070,5.54,5.981,3.282
1.080,5.6,6.029,6.282
1.090,5.661,6.107,9.282
1.100,5.722,6.215,12.282
1.110,5.785,6.352,15.282
1.120,5.849,6.52,18.282
1.130,5.915,6.718,21.282
1.140,5.984,6.946,24.282
1.150,6.054,7.204,27.282
1.160,6.128,7.491,30.282
1.170,6.204,7.809,33.282
1.180,6.284,8.157,36.282
1.190,6.368,8.535,39.282
1.200,6.455,8.943,42.282
1.210,6.547,9.381,45.282
1.220,6.643,9.848,48.282
1.230,6.744,10.346,51.282
1.240,6.85,10.874,54.282
1.250,6.961,11.432,57.282
1.260,7.078,12.02,60.282
1.270,7.202,12.637,63.282
1.280,7.331,13.284,64.849
1.290,7.467,13.917,61.849
1.300,7.61,14.52,58.849
1.310,7.758,15.094,55.849
1.320,7.911,15.637,52.849
1.330,8.07,16.151,49.86
1.340,8.234,16.635,46.86
1.350,8.403,17.088,43.86
1.360,8.576,17.512,40.86
1.370,8.753,17.905,37.86
1.380,8.934,18.269,34.86
