t,d2,v2,a2
0.010,194.999,-0.3,-60.0
0.020,194.992,-1.2,-120.0
0.030,194.973,-2.7,-180.0
0.040,194.936,-4.8,-240.0
0.050,194.875,-7.5,-300.0
0.060,194.784,-10.8,-360.0
0.070,194.657,-14.7,-420.0
0.080,194.488,-19.2,-480.0
0.090,194.271,-24.3,-540.0
0.100,194.0,-30.0,-600.0
0.110,193.669,-36.3,-660.0
0.120,193.272,-43.2,-720.0
0.130,192.803,-50.7,-780.0
0.140,192.256,-58.8,-840.0
0.150,191.625,-67.5,-900.0
0.160,190.904,-76.8,-960.0
0.170,190.087,-86.7,-1020.0
0.180,189.168,-97.2,-1080.0
0.190,188.141,-108.3,-1140.0
0.200,187.0,-120.0,-1200.0
0.210,185.74,-132.0,-1200.0
0.220,184.36,-144.0,-1200.0
0.230,182.861,-155.78,-1148.661
0.240,181.246,-166.967,-1088.661
0.250,179.523,-177.554,-1028.661
0.260,177.697,-187.54,-968.661
0.270,175.774,-196.927,-908.661
0.280,173.761,-205.713,-848.661
0.290,171.662,-213.9,-788.661
0.300,169.485,-221.487,-728.661
0.310,167.234,-228.473,-668.661
0.320,164.917,-234.86,-608.661
0.330,162.539,-240.646,-548.661
0.340,160.106,-245.833,-488.661
0.350,157.625,-250.42,-428.661
0.360,155.1,-254.406,-368.661
0.370,152.539,-257.793,-308.661
0.380,149.946,-260.579,-248.661
0.390,147.329,-262.766,-188.661
0.400,144.693,-264.353,-128.661
0.410,142.044,-265.339,-68.661
0.420,139.388,-265.726,-8.661
0.430,136.731,-265.512,51.339
0.440,134.08,-264.699,111.339
0.450,131.439,-263.286,171.339
0.460,128.816,-261.272,231.339
0.470,126.216,-258.659,291.339
0.480,123.645,-255.446,351.339
0.490,121.109,-251.632,411.339
0.500,118.614,-247.219,471.339
0.510,116.167,-242.205,531.339
0.520,113.772,-236.592,591.339
0.530,111.437,-230.379,651.339
0.540,109.167,-223.565,711.339
0.550,106.967,-216.152,771.339
0.560,104.846,-208.138,831.339
0.570,102.807,-199.525,891.339
0.580,100.857,-190.312,951.339
0.590,99.002,-180.498,1011.339
0.600,97.249,-170.085,1071.339
0.610,95.603,-159.071,1131.339
0.620,94.07,-147.458,1191.339
0.630,92.655,-135.464,1200.0
0.640,91.36,-123.464,1200.0
0.650,90.186,-111.464,1200.0
0.660,89.131,-99.464,1200.0
0.670,88.196,-87.464,1200.0
0.680,87.382,-75.464,1200.0
0.690,86.687,-63.464,1200.0
0.700,86.113,-51.464,1200.0
0.710,85.658,-39.464,1200.0
0.720,85.323,-27.464,1200.0
0.730,85.108,-15.642,1153.829
0.740,85.008,-4.404,1093.829
0.750,85.018,6.381,1093.061
0.760,85.138,17.561,1118.307
0.770,85.368,28.444,1058.307
0.780,85.705,38.727,998.307
0.790,86.141,48.41,938.307
0.800,86.671,57.493,878.307
0.810,87.289,65.977,818.307
0.820,87.988,73.86,758.307
0.830,88.764,81.143,698.307
0.840,89.609,87.826,638.307
0.850,90.518,93.909,578.307
0.860,91.485,99.392,518.307
0.870,92.504,104.275,458.307
0.880,93.569,108.558,398.307
0.890,94.673,112.241,338.307
0.900,95.812,115.324,278.307
0.910,96.978,117.807,218.307
0.920,98.166,119.69,158.307
0.930,99.37,120.973,98.307
0.940,100.583,121.656,38.307
0.950,101.801,121.739,-21.693
0.960,103.016,121.223,-81.693
0.970,104.223,120.106,-141.693
0.980,105.416,118.389,-201.693
0.990,106.589,116.072,-261.693
1.000,107.736,113.155,-321.693
1.010,108.85,109.638,-381.693
1.020,109.926,105.521,-441.693
1.030,110.959,100.804,-501.693
1.040,111.94,95.487,-561.693
1.050,112.866,89.57,-621.693
1.060,113.73,83.053,-681.693
1.070,114.525,75.936,-741.693
1.080,115.247,68.42,-732.361
1.090,115.896,61.396,-672.361
1.100,116.477,54.972,-612.361
1.110,116.997,49.149,-552.361
1.120,117.462,43.925,-492.361
1.130,117.878,39.302,-432.361
1.140,118.25,35.278,-372.361
1.150,118.585,31.854,-312.361
1.160,118.889,29.031,-252.361
1.170,119.168,26.807,-192.361
1.180,119.427,25.184,-132.361
1.190,119.673,24.16,-72.361
1.200,119.912,23.736,-12.361
1.210,120.15,23.913,47.639
1.220,120.393,24.689,107.639
1.230,120.646,26.065,167.639
1.240,120.916,28.042,227.639
1.250,121.209,30.618,287.639
1.260,121.53,33.795,347.639
1.270,121.887,37.571,407.639
1.280,122.284,41.947,467.639
1.290,122.728,46.924,527.639
1.300,123.224,52.5,587.639
1.310,123.78,58.677,647.639
1.320,124.4,65.453,707.639
1.330,125.091,72.829,767.639
1.340,125.858,80.806,827.639
1.350,126.709,89.382,887.639
1.360,127.648,98.559,947.639
1.370,128.682,108.335,1007.639
1.380,129.815,118.117,948.197
1.390,131.042,127.299,888.197
1.400,132.359,135.881,828.197
1.410,133.758,143.863,768.197
1.420,135.234,151.245,708.197
1.430,136.781,158.027,648.197
1.440,138.392,164.209,588.197
1.450,140.063,169.791,528.197
1.460,141.786,174.773,468.197
1.470,143.556,179.155,408.197
1.480,145.367,182.937,348.197
1.490,147.213,186.119,288.197
1.500,149.088,188.701,228.197
1.510,150.985,190.682,168.197
1.520,152.899,192.064,108.197
1.530,154.824,192.846,48.197
1.540,156.754,193.028,-11.803
1.550,158.683,192.61,-71.803
1.560,160.604,191.592,-131.803
1.570,162.513,189.974,-191.803
1.580,164.402,187.756,-251.803
1.590,166.266,184.938,-311.803
1.600,168.099,181.52,-371.803
1.610,169.894,177.502,-431.803
1.620,171.647,172.884,-491.803
1.630,173.35,167.666,-551.803
1.640,174.998,161.848,-611.803
1.650,176.585,155.43,-671.803
1.660,178.105,148.412,-731.803
1.670,179.551,140.794,-791.803
1.680,180.919,132.576,-851.803
1.690,182.201,123.758,-911.803
1.700,183.392,114.34,-971.803
1.710,184.486,104.322,-1031.803
1.720,185.476,93.744,-1060.628
1.730,186.362,83.438,-1000.628
1.740,187.147,73.732,-940.628
1.750,187.838,64.626,-880.628
1.760,188.441,56.119,-820.628
1.770,188.963,48.213,-760.628
1.780,189.408,40.907,-700.628
1.790,189.783,34.2,-640.628
1.800,190.094,28.094,-580.628
1.810,190.347,22.588,-520.628
1.820,190.548,17.682,-460.628
1.830,190.702,13.375,-400.628
1.840,190.817,9.669,-340.628
1.850,190.898,6.563,-280.628
1.860,190.95,4.056,-220.628
1.870,190.981,2.15,-160.628
1.880,190.995,0.844,-100.628
1.890,191.0,0.138,-40.628
1.900,191.0,-0.0,0.0
