t,d0,v0,a0
1.870,0.294,-5.798,76.143
1.880,0.24,-5.061,71.143
1.890,0.193,-4.375,66.143
1.900,0.152,-3.739,61.143
1.910,0.118,-3.152,56.143
1.920,0.089,-2.616,51.143
1.930,0.065,-2.129,46.143
1.940,0.046,-1.693,41.143
1.950,0.031,-1.306,36.143
1.960,0.02,-0.97,31.143
1.970,0.012,-0.683,26.143
1.980,0.006,-0.447,21.143
1.990,0.003,-0.261,16.143
2.000,0.001,-0.124,11.143
2.010,0.0,-0.038,6.143
2.020,0.0,-0.001,1.143
2.030,0.0,-0.0,0.0
