t,d0,v0,a0
1.870,0.48,-8.034,89.63
1.880,0.404,-7.162,84.63
1.890,0.337,-6.341,79.63
1.900,0.277,-5.57,74.63
1.910,0.225,-4.848,69.63
1.920,0.18,-4.177,64.63
1.930,0.141,-3.556,59.63
1.940,0.109,-2.984,54.63
1.950,0.081,-2.463,49.63
1.960,0.059,-1.992,44.63
1.970,0.041,-1.571,39.63
1.980,0.028,-1.199,34.63
1.990,0.017,-0.878,29.63
2.000,0.01,-0.607,24.63
2.010,0.005,-0.385,19.63
2.020,0.002,-0.214,14.63
2.030,0.001,-0.093,9.63
2.040,0.0,-0.021,4.63
2.050,-0.0,-0.0,0.0
