t,d0,v0,a0
0.010,0.0,0.025,5.0
0.020,0.001,0.1,10.0
0.030,0.002,0.225,15.0
0.040,0.005,0.4,20.0
0.050,0.01,0.625,25.0
0.060,0.018,0.9,30.0
0.070,0.029,1.225,35.0
0.080,0.043,1.6,40.0
0.090,0.061,2.025,45.0
0.100,0.083,2.5,50.0
0.110,0.111,3.025,55.0
0.120,0.144,3.6,60.0
0.130,0.183,4.225,65.0
0.140,0.229,4.9,70.0
0.150,0.281,5.625,75.0
0.160,0.341,6.4,80.0
0.170,0.409,7.225,85.0
0.180,0.486,8.1,90.0
0.190,0.572,9.025,95.0
0.200,0.667,10.0,100.0
0.210,0.772,11.025,105.0
0.220,0.887,12.1,110.0
0.230,1.014,13.225,115.0
0.240,1.152,14.4,120.0
0.250,1.302,15.625,125.0
0.260,1.465,16.9,130.0
0.270,1.64,18.225,135.0
0.280,1.829,19.6,140.0
0.290,2.032,21.025,145.0
0.300,2.25,22.5,150.0
0.310,2.483,24.0,150.0
0.320,2.73,25.5,150.0
0.330,2.993,27.0,150.0
0.340,3.27,28.5,150.0
0.350,3.563,30.0,150.0
0.360,3.87,31.5,150.0
0.370,4.193,33.0,150.0
0.380,4.53,34.5,150.0
0.390,4.883,36.0,150.0
0.400,5.25,37.5,150.0
0.410,5.633,39.0,150.0
0.420,6.03,40.5,150.0
0.430,6.443,42.0,150.0
0.440,6.87,43.5,150.0
0.450,7.313,45.0,150.0
0.460,7.77,46.5,150.0
0.470,8.243,48.0,150.0
0.480,8.73,49.5,150.0
0.490,9.233,51.0,150.0
0.500,9.75,52.5,150.0
0.510,10.282,53.993,147.302
0.520,10.83,55.441,142.302
0.530,11.391,56.839,137.302
0.540,11.966,58.187,132.302
0.550,12.555,59.485,127.302
0.560,13.156,60.733,122.302
0.570,13.769,61.931,117.302
0.580,14.394,63.079,112.302
0.590,15.031,64.177,107.302
0.600,15.678,65.225,102.302
0.610,16.335,66.223,97.302
0.620,17.002,67.171,92.302
0.630,17.678,68.069,87.302
0.640,18.363,68.917,82.302
0.650,19.056,69.715,77.302
0.660,19.757,70.463,72.302
0.670,20.465,71.161,67.302
0.680,21.18,71.809,62.302
0.690,21.901,72.407,57.302
0.700,22.628,72.955,52.302
0.710,23.36,73.453,47.302
0.720,24.097,73.901,42.302
0.730,24.838,74.299,37.302
0.740,25.583,74.647,32.302
0.750,26.331,74.945,27.302
0.760,27.082,75.193,22.302
0.770,27.835,75.391,17.302
0.780,28.589,75.539,12.302
0.790,29.345,75.637,7.302
0.800,30.102,75.685,2.302
0.810,30.859,75.683,-2.698
0.820,31.616,75.631,-7.698
0.830,32.371,75.529,-12.698
0.840,33.126,75.377,-17.698
0.850,33.879,75.175,-22.698
0.860,34.629,74.923,-27.698
0.870,35.377,74.621,-32.698
0.880,36.122,74.269,-37.698
0.890,36.862,73.868,-42.698
0.900,37.599,73.416,-47.698
0.910,38.33,72.914,-52.698
0.920,39.057,72.362,-57.698
0.930,39.777,71.76,-62.698
0.940,40.492,71.108,-67.698
0.950,41.199,70.406,-72.698
0.960,41.9,69.654,-77.698
0.970,42.592,68.852,-82.698
0.980,43.277,68.0,-87.698
0.990,43.952,67.098,-92.698
1.000,44.618,66.146,-97.698
1.010,45.275,65.144,-102.698
1.020,45.921,64.092,-107.698
1.030,46.557,62.99,-112.698
1.040,47.181,61.838,-117.698
1.050,47.793,60.636,-122.698
1.060,48.393,59.384,-127.698
1.070,48.981,58.082,-132.698
1.080,49.555,56.73,-137.698
1.090,50.115,55.328,-142.698
1.100,50.661,53.876,-147.698
1.110,51.193,52.381,-150.0
1.120,51.709,50.881,-150.0
1.130,52.21,49.381,-150.0
1.140,52.696,47.881,-150.0
1.150,53.168,46.381,-150.0
1.160,53.624,44.881,-150.0
1.170,54.065,43.381,-150.0
1.180,54.492,41.881,-150.0
1.190,54.903,40.381,-150.0
1.200,55.299,38.881,-150.0
1.210,55.681,37.381,-150.0
1.220,56.047,35.881,-150.0
1.230,56.398,34.381,-150.0
1.240,56.735,32.881,-150.0
1.250,57.056,31.381,-150.0
1.260,57.362,29.881,-150.0
1.270,57.654,28.381,-150.0
1.280,57.93,26.881,-150.0
1.290,58.191,25.381,-150.0
1.300,58.437,23.881,-150.0
1.310,58.669,22.381,-150.0
1.320,58.885,20.881,-150.0
1.330,59.086,19.387,-150.0
1.340,59.273,17.887,-150.0
1.350,59.444,16.387,-150.0
1.360,59.601,14.887,-150.0
1.370,59.742,13.405,-145.689
1.380,59.869,11.973,-140.689
1.390,59.982,10.592,-135.689
1.400,60.081,9.26,-130.689
1.410,60.167,7.978,-125.689
1.420,60.241,6.746,-120.689
1.430,60.302,5.564,-115.689
1.440,60.352,4.432,-110.689
1.450,60.391,3.35,-105.689
1.460,60.419,2.318,-100.689
1.470,60.437,1.336,-95.689
1.480,60.446,0.405,-90.689
1.490,60.446,-0.477,-85.689
1.500,60.437,-1.309,-80.689
1.510,60.42,-2.091,-75.689
1.520,60.395,-2.823,-70.689
1.530,60.363,-3.505,-65.689
1.540,60.325,-4.137,-60.814
1.550,60.281,-4.745,-60.814
1.560,60.23,-5.353,-60.814
1.570,60.174,-5.961,-60.814
1.580,60.111,-6.56,-57.715
1.590,60.043,-7.112,-52.715
1.600,59.969,-7.614,-47.715
1.610,59.89,-8.066,-42.715
1.620,59.808,-8.468,-37.715
1.630,59.721,-8.82,-32.715
1.640,59.631,-9.123,-27.715
1.650,59.539,-9.375,-22.715
1.660,59.444,-9.577,-17.715
1.670,59.348,-9.729,-12.715
1.680,59.25,-9.831,-7.715
1.690,59.151,-9.883,-2.715
1.700,59.052,-9.886,2.285
1.710,58.954,-9.838,7.285
1.720,58.856,-9.74,12.285
1.730,58.759,-9.592,17.285
1.740,58.664,-9.394,22.285
1.750,58.571,-9.146,27.285
1.760,58.481,-8.848,32.285
1.770,58.394,-8.501,37.285
1.780,58.311,-8.103,42.285
1.790,58.233,-7.655,47.285
1.800,58.158,-7.157,52.285
1.810,58.09,-6.609,57.285
1.820,58.026,-6.011,62.285
1.830,57.97,-5.364,67.285
1.840,57.919,-4.666,72.285
1.850,57.876,-3.918,77.285
1.860,57.841,-3.12,82.285
1.870,57.814,-2.317,77.796
1.880,57.795,-1.564,72.796
1.890,57.783,-0.861,67.796
1.900,57.777,-0.208,62.796
1.910,57.778,0.395,57.796
1.920,57.785,0.948,52.796
1.930,57.797,1.451,47.796
1.940,57.814,1.904,42.796
1.950,57.835,2.306,37.796
1.960,57.86,2.659,32.796
1.970,57.888,2.962,27.796
1.980,57.919,3.215,22.796
1.990,57.952,3.418,17.796
2.000,57.987,3.571,12.796
2.010,58.023,3.674,7.796
2.020,58.06,3.727,2.796
2.030,58.098,3.735,0.0
2.040,58.135,3.735,0.0
2.050,58.172,3.735,0.0
2.060,58.21,3.735,0.0
2.070,58.247,3.735,0.0
2.080,58.284,3.735,0.0
2.090,58.322,3.735,0.0
2.100,58.359,3.735,0.0
2.110,58.397,3.735,0.0
2.120,58.434,3.735,0.0
2.130,58.471,3.735,0.0
2.140,58.509,3.735,0.0
2.150,58.546,3.735,0.0
2.160,58.583,3.735,0.0
2.170,58.621,3.735,0.0
2.180,58.658,3.735,0.0
2.190,58.695,3.729,-2.425
2.200,58.732,3.68,-7.425
2.210,58.769,3.581,-12.425
2.220,58.804,3.431,-17.425
2.230,58.837,3.232,-22.425
2.240,58.868,2.983,-27.425
2.250,58.897,2.684,-32.425
2.260,58.922,2.334,-37.425
2.270,58.943,1.935,-42.425
2.280,58.96,1.521,-39.004
2.290,58.974,1.156,-34.004
2.300,58.984,0.841,-29.004
2.310,58.991,0.576,-24.004
2.320,58.995,0.361,-19.004
2.330,58.998,0.196,-14.004
2.340,59.0,0.081,-9.004
2.350,59.0,0.016,-4.004
2.360,59.0,-0.0,0.0
