t,d1,v1,a1
0.010,6.2,-0.015,-3.0
0.020,6.2,-0.06,-6.0
0.030,6.199,-0.135,-9.0
0.040,6.197,-0.24,-12.0
0.050,6.194,-0.375,-15.0
0.060,6.189,-0.54,-18.0
0.070,6.183,-0.735,-21.0
0.080,6.174,-0.96,-24.0
0.090,6.164,-1.215,-27.0
0.100,6.15,-1.5,-30.0
0.110,6.133,-1.815,-33.0
0.120,6.114,-2.16,-36.0
0.130,6.09,-2.535,-39.0
0.140,6.063,-2.94,-42.0
0.150,6.031,-3.375,-45.0
0.160,5.995,-3.84,-48.0
0.170,5.954,-4.335,-51.0
0.180,5.908,-4.86,-54.0
0.190,5.857,-5.415,-57.0
0.200,5.8,-6.0,-60.0
0.210,5.737,-6.615,-63.0
0.220,5.668,-7.26,-66.0
0.230,5.592,-7.917,-64.323
0.240,5.509,-8.545,-61.323
0.250,5.421,-9.143,-58.323
0.260,5.327,-9.711,-55.323
0.270,5.227,-10.25,-52.323
0.280,5.122,-10.758,-49.323
0.290,5.012,-11.236,-46.323
0.300,4.897,-11.684,-43.323
0.310,4.778,-12.103,-40.323
0.320,4.655,-12.491,-37.323
0.330,4.528,-12.849,-34.323
0.340,4.398,-13.177,-31.323
0.350,4.265,-13.475,-28.323
0.360,4.129,-13.744,-25.323
0.370,3.99,-13.982,-22.323
0.380,3.849,-14.19,-19.323
0.390,3.706,-14.368,-16.323
0.400,3.562,-14.517,-13.323
0.410,3.416,-14.635,-10.323
0.420,3.269,-14.723,-7.323
0.430,3.122,-14.781,-4.323
0.440,2.974,-14.81,-1.323
0.450,2.826,-14.808,1.677
0.460,2.678,-14.776,4.677
0.470,2.53,-14.714,7.677
0.480,2.384,-14.622,10.677
0.490,2.238,-14.501,13.677
0.500,2.094,-14.349,16.677
0.510,1.951,-14.167,19.677
0.520,1.811,-13.955,22.677
0.530,1.672,-13.714,25.677
0.540,1.536,-13.442,28.677
0.550,1.403,-13.14,31.677
0.560,1.274,-12.808,34.677
0.570,1.147,-12.446,37.677
0.580,1.025,-12.055,40.677
0.590,0.906,-11.633,43.677
0.600,0.792,-11.181,46.677
0.610,0.683,-10.7,49.121
0.620,0.578,-10.223,46.121
0.630,0.478,-9.776,44.448
0.640,0.383,-9.316,47.448
0.650,0.292,-8.827,50.448
0.660,0.206,-8.307,53.448
0.670,0.126,-7.758,56.448
0.680,0.051,-7.178,59.448
0.690,-0.017,-6.569,62.448
0.700,-0.08,-5.932,63.715
0.710,-0.136,-5.31,60.715
0.720,-0.186,-4.718,57.715
0.730,-0.231,-4.155,54.715
0.740,-0.27,-3.623,51.715
0.750,-0.303,-3.121,48.715
0.760,-0.332,-2.649,45.715
0.770,-0.356,-2.207,42.715
0.780,-0.376,-1.795,39.715
0.790,-0.392,-1.413,36.715
0.800,-0.405,-1.06,33.715
0.810,-0.414,-0.738,30.715
0.820,-0.419,-0.446,27.715
0.830,-0.423,-0.184,24.715
0.840,-0.423,0.048,21.715
0.850,-0.422,0.25,18.715
0.860,-0.418,0.423,15.715
0.870,-0.413,0.565,12.715
0.880,-0.407,0.677,9.715
0.890,-0.4,0.759,6.715
0.900,-0.392,0.811,3.715
0.910,-0.384,0.833,0.715
0.920,-0.375,0.834,0.0
0.930,-0.367,0.834,0.0
0.940,-0.359,0.834,0.0
0.950,-0.35,0.834,0.0
0.960,-0.342,0.834,0.0
0.970,-0.334,0.834,0.0
0.980,-0.325,0.834,0.0
0.990,-0.317,0.834,0.0
1.000,-0.309,0.834,0.0
1.010,-0.3,0.834,0.0
1.020,-0.292,0.834,0.0
1.030,-0.284,0.834,0.0
1.040,-0.275,0.834,0.0
1.050,-0.267,0.834,0.0
1.060,-0.259,0.834,0.0
1.070,-0.25,0.834,0.0
1.080,-0.242,0.834,0.0
1.090,-0.234,0.834,0.0
1.100,-0.225,0.834,0.0
1.110,-0.217,0.834,0.0
1.120,-0.209,0.834,0.0
1.130,-0.2,0.834,0.0
1.140,-0.192,0.834,0.0
1.150,-0.184,0.834,0.0
1.160,-0.175,0.834,0.0
1.170,-0.167,0.834,0.0
1.180,-0.159,0.834,0.0
1.190,-0.15,0.834,0.0
1.200,-0.142,0.834,0.0
1.210,-0.134,0.834,0.0
1.220,-0.125,0.834,0.0
1.230,-0.117,0.834,0.0
1.240,-0.109,0.834,0.0
1.250,-0.1,0.834,0.0
1.260,-0.092,0.834,0.0
1.270,-0.084,0.834,0.0
1.280,-0.075,0.834,0.0
1.290,-0.067,0.834,0.0
1.300,-0.059,0.834,0.0
1.310,-0.05,0.834,0.0
1.320,-0.042,0.834,0.0
1.330,-0.033,0.834,0.0
1.340,-0.025,0.834,0.0
1.350,-0.017,0.834,0.0
1.360,-0.008,0.834,0.0
1.370,-0.0,0.834,0.0
1.380,0.008,0.834,0.0
1.390,0.017,0.834,0.0
1.400,0.025,0.834,0.0
1.410,0.033,0.834,0.0
1.420,0.042,0.834,0.0
1.430,0.05,0.834,0.0
1.440,0.058,0.834,0.0
1.450,0.067,0.834,0.0
1.460,0.075,0.834,0.0
1.470,0.083,0.834,0.0
1.480,0.092,0.834,0.0
1.490,0.1,0.834,0.0
1.500,0.108,0.834,0.0
1.510,0.117,0.834,0.0
1.520,0.125,0.834,0.0
1.530,0.133,0.834,0.0
1.540,0.142,0.834,0.0
1.550,0.15,0.834,0.0
1.560,0.158,0.834,0.0
