t,d0,v0,a0
0.010,59.0,0.025,5.0
0.020,59.001,0.089,5.397
0.030,59.002,0.118,0.397
0.040,59.003,0.119,0.0
0.050,59.004,0.119,0.0
0.060,59.005,0.119,0.0
0.070,59.006,0.119,0.0
0.080,59.008,0.119,0.0
0.090,59.009,0.119,0.0
0.100,59.01,0.119,0.0
0.110,59.011,0.119,0.0
0.120,59.012,0.119,0.0
0.130,59.014,0.119,0.0
0.140,59.015,0.119,0.0
0.150,59.016,0.119,0.0
0.160,59.017,0.119,0.0
0.170,59.018,0.119,0.0
0.180,59.02,0.119,0.0
0.190,59.021,0.119,0.0
0.200,59.022,0.119,0.0
0.210,59.023,0.119,0.0
0.220,59.024,0.119,0.0
0.230,59.025,0.119,0.0
0.240,59.027,0.119,0.0
0.250,59.028,0.119,0.0
0.260,59.029,0.119,0.0
0.270,59.03,0.119,0.0
0.280,59.031,0.119,0.0
0.290,59.033,0.119,0.0
0.300,59.034,0.119,0.0
0.310,59.035,0.119,0.0
0.320,59.036,0.119,0.0
0.330,59.037,0.119,0.0
0.340,59.038,0.119,0.0
0.350,59.04,0.119,0.0
0.360,59.041,0.119,0.0
0.370,59.042,0.119,0.0
0.380,59.043,0.119,0.0
0.390,59.044,0.119,0.0
0.400,59.046,0.119,0.0
0.410,59.047,0.119,0.0
0.420,59.048,0.119,0.0
0.430,59.049,0.119,0.0
0.440,59.05,0.119,0.0
0.450,59.052,0.119,0.249
0.460,59.053,0.146,5.249
0.470,59.055,0.224,10.249
0.480,59.057,0.351,15.249
0.490,59.062,0.529,20.249
0.500,59.068,0.746,20.823
0.510,59.077,0.929,15.823
0.520,59.087,1.063,10.823
0.530,59.098,1.146,5.823
0.540,59.109,1.179,0.823
0.550,59.121,1.162,-4.177
0.560,59.132,1.096,-9.177
0.570,59.143,0.979,-14.177
0.580,59.152,0.812,-19.177
0.590,59.159,0.595,-24.177
0.600,59.164,0.329,-29.177
0.610,59.165,0.012,-34.177
0.620,59.164,-0.355,-39.177
0.630,59.158,-0.772,-44.177
0.640,59.148,-1.238,-49.177
0.650,59.133,-1.755,-54.177
0.660,59.113,-2.322,-59.177
0.670,59.087,-2.939,-64.177
0.680,59.054,-3.606,-69.177
0.690,59.014,-4.322,-74.177
0.700,58.967,-5.089,-79.177
0.710,58.912,-5.906,-84.177
0.720,58.849,-6.773,-89.177
0.730,58.777,-7.689,-94.177
0.740,58.695,-8.656,-99.177
0.750,58.603,-9.673,-104.177
0.760,58.501,-10.74,-109.177
0.770,58.388,-11.856,-114.177
0.780,58.264,-13.023,-119.177
0.790,58.128,-14.24,-124.177
0.800,57.979,-15.507,-129.177
0.810,57.817,-16.823,-134.177
0.820,57.642,-18.19,-139.177
0.830,57.454,-19.607,-144.177
0.840,57.25,-21.074,-149.177
0.850,57.032,-22.573,-150.0
0.860,56.799,-24.073,-150.0
0.870,56.55,-25.573,-150.0
0.880,56.287,-27.073,-150.0
0.890,56.009,-28.573,-150.0
0.900,55.716,-30.073,-150.0
0.910,55.408,-31.573,-150.0
0.920,55.084,-33.073,-150.0
0.930,54.746,-34.573,-150.0
0.940,54.393,-36.073,-150.0
0.950,54.025,-37.573,-150.0
0.960,53.641,-39.073,-150.0
0.970,53.243,-40.573,-150.0
0.980,52.83,-42.073,-150.0
0.990,52.402,-43.573,-150.0
1.000,51.958,-45.073,-150.0
1.010,51.5,-46.573,-150.0
1.020,51.027,-48.073,-150.0
1.030,50.539,-49.573,-150.0
1.040,50.036,-51.073,-150.0
1.050,49.517,-52.569,-147.938
1.060,48.984,-54.023,-142.938
1.070,48.437,-55.428,-137.938
1.080,47.876,-56.782,-132.938
1.090,47.302,-58.086,-127.938
1.100,46.714,-59.341,-122.938
1.110,46.115,-60.545,-117.938
1.120,45.504,-61.7,-112.938
1.130,44.881,-62.804,-107.938
1.140,44.248,-63.858,-102.938
1.150,43.604,-64.863,-97.938
1.160,42.951,-65.817,-92.938
1.170,42.288,-66.721,-87.938
1.180,41.616,-67.576,-82.938
1.190,40.937,-68.38,-77.938
1.200,40.249,-69.135,-72.938
1.210,39.554,-69.839,-67.938
1.220,38.852,-70.493,-62.938
1.230,38.144,-71.098,-57.938
1.240,37.431,-71.652,-52.938
1.250,36.711,-72.156,-47.938
1.260,35.988,-72.611,-42.938
1.270,35.259,-73.015,-37.938
1.280,34.527,-73.37,-32.938
1.290,33.792,-73.674,-27.938
1.300,33.054,-73.928,-22.938
1.310,32.314,-74.133,-17.938
1.320,31.572,-74.287,-12.938
1.330,30.828,-74.392,-7.938
1.340,30.084,-74.446,-2.938
1.350,29.339,-74.45,2.062
1.360,28.595,-74.405,7.062
1.370,27.851,-74.309,12.062
1.380,27.109,-74.163,17.062
1.390,26.368,-73.968,22.062
1.400,25.63,-73.722,27.062
1.410,24.894,-73.427,32.062
1.420,24.162,-73.081,37.062
1.430,23.433,-72.685,42.062
1.440,22.708,-72.24,47.062
1.450,21.988,-71.744,52.062
1.460,21.273,-71.198,57.062
1.470,20.564,-70.603,62.062
1.480,19.861,-69.957,67.062
1.490,19.165,-69.262,72.062
1.500,18.476,-68.516,77.062
1.510,17.795,-67.72,82.062
1.520,17.122,-66.875,87.062
1.530,16.458,-65.979,92.062
1.540,15.803,-65.034,97.062
1.550,15.157,-64.038,102.062
1.560,14.522,-62.992,107.062
1.570,13.898,-61.897,112.062
1.580,13.284,-60.751,117.062
1.590,12.683,-59.555,122.062
1.600,12.093,-58.31,127.062
1.610,11.517,-57.014,132.062
1.620,10.953,-55.669,137.062
1.630,10.403,-54.273,142.062
1.640,9.868,-52.827,147.062
1.650,9.347,-51.336,150.0
1.660,8.841,-49.836,150.0
1.670,8.35,-48.336,150.0
1.680,7.875,-46.836,150.0
1.690,7.414,-45.336,150.0
1.700,6.968,-43.836,150.0
1.710,6.537,-42.336,150.0
1.720,6.121,-40.836,150.0
1.730,5.72,-39.336,150.0
1.740,5.334,-37.836,150.0
1.750,4.964,-36.336,150.0
1.760,4.608,-34.836,150.0
1.770,4.267,-33.336,150.0
1.780,3.941,-31.836,150.0
1.790,3.63,-30.336,150.0
1.800,3.334,-28.836,150.0
1.810,3.053,-27.336,150.0
1.820,2.787,-25.836,150.0
1.830,2.537,-24.336,150.0
1.840,2.301,-22.836,150.0
1.850,2.08,-21.351,146.12
1.860,1.874,-19.915,141.12
1.870,1.681,-18.529,136.12
1.880,1.503,-17.192,131.12
1.890,1.337,-15.906,126.12
1.900,1.185,-14.67,121.12
1.910,1.044,-13.484,116.12
1.920,0.915,-12.348,111.12
1.930,0.797,-11.261,106.12
1.940,0.689,-10.225,101.12
1.950,0.592,-9.239,96.12
1.960,0.504,-8.303,91.12
1.970,0.426,-7.417,86.12
1.980,0.356,-6.58,81.12
1.990,0.294,-5.794,76.12
2.000,0.24,-5.058,71.12
2.010,0.193,-4.372,66.12
2.020,0.152,-3.736,61.12
2.030,0.118,-3.149,56.12
2.040,0.089,-2.613,51.12
2.050,0.065,-2.127,46.12
2.060,0.046,-1.691,41.12
2.070,0.031,-1.305,36.12
2.080,0.02,-0.968,31.12
2.090,0.012,-0.682,26.12
2.100,0.006,-0.446,21.12
2.110,0.003,-0.26,16.12
2.120,0.001,-0.124,11.12
2.130,0.0,-0.037,6.12
2.140,0.0,-0.001,1.12
2.150,-0.0,0.0,0.0
